Date,Open,High,Low,Close,Adj Close,Volume
2018/12/3,9979.209961,10148.75,9979.209961,10137.87012,10137.87012,3055000
2018/12/4,10120.42969,10126.01953,10061.7002,10083.54004,10083.54004,2576200
2018/12/5,9971.980469,9971.980469,9895.290039,9916.740234,9916.740234,2025400
2018/12/6,9850.080078,9850.080078,9664.75,9684.719727,9684.719727,2658000
2018/12/7,9719.459961,9785.200195,9719.459961,9760.879883,9760.879883,1716300
2018/12/10,9722.969727,9722.969727,9626.469727,9647.540039,9647.540039,1868800
2018/12/11,9661.719727,9720.959961,9661.719727,9707.040039,9707.040039,1768400
2018/12/12,9741.450195,9835.55957,9741.450195,9816.450195,9816.450195,1860200
2018/12/13,9827.320313,9871.959961,9815.5,9858.759766,9858.759766,2034600
2018/12/14,9818.950195,9818.950195,9718.94043,9774.160156,9774.160156,1837600
2018/12/17,9762.490234,9826.879883,9733.980469,9787.530273,9787.530273,1597900
2018/12/18,9756.459961,9756.669922,9701.099609,9718.820313,9718.820313,1881600
2018/12/19,9720.919922,9783.209961,9720.919922,9783.209961,9783.209961,1782800
2018/12/20,9729.290039,9741.549805,9658.5,9674.519531,9674.519531,1696500
2018/12/21,9648.980469,9683.950195,9585.320313,9676.669922,9676.669922,2087300
2018/12/24,9646.530273,9658.950195,9613.290039,9639.700195,9639.700195,1385100
2018/12/25,9559.700195,9559.700195,9479.05957,9527.089844,9527.089844,1458500
2018/12/26,9544.870117,9591.910156,9473.299805,9478.990234,9478.990234,1299700
2018/12/27,9555.009766,9670.969727,9555.009766,9641.55957,9641.55957,1511100
2018/12/28,9649.969727,9727.410156,9630.769531,9727.410156,9727.410156,1411300
2019/1/2,9725.269531,9737.679688,9542.519531,9554.139648,9554.139648,1239100
2019/1/3,9494.25,9554.530273,9474.469727,9492.419922,9492.419922,1560800
2019/1/4,9427.240234,9427.240234,9319.280273,9382.509766,9382.509766,1842100
2019/1/7,9460.200195,9596.349609,9460.200195,9590.299805,9590.299805,1722300
2019/1/8,9591.55957,9600.94043,9547.629883,9563.599609,9563.599609,1423100
2019/1/9,9584.629883,9741.639648,9584.629883,9738.30957,9738.30957,2281800
2019/1/10,9731.110352,9731.110352,9683.200195,9720.69043,9720.69043,1609200
2019/1/11,9753.629883,9796.980469,9736,9759.400391,9759.400391,1618600
2019/1/14,9737.669922,9762.370117,9677.490234,9708.219727,9708.219727,1356000
2019/1/15,9701.929688,9806.040039,9701.929688,9806.040039,9806.040039,1709500
2019/1/16,9781.349609,9803.990234,9763.80957,9763.80957,9763.80957,1796800
2019/1/17,9773.30957,9826.25,9759.509766,9789.150391,9789.150391,1634200
2019/1/18,9781.389648,9842.799805,9771.150391,9836.05957,9836.05957,1545600
2019/1/21,9870.269531,9919.94043,9870.269531,9889.400391,9889.400391,1593600
2019/1/22,9880.540039,9894.660156,9855.469727,9894.660156,9894.660156,1408000
2019/1/23,9869.540039,9873.389648,9828.030273,9846.400391,9846.400391,1140300
2019/1/24,9865,9892.820313,9847.320313,9877.120117,9877.120117,1452000
2019/1/25,9923.389648,9980.080078,9918.209961,9969.610352,9969.610352,1944600
2019/1/28,10006.45996,10020.59961,9990.070313,10013.33008,10013.33008,1656900
2019/1/29,9944.709961,9952.339844,9893.959961,9931.589844,9931.589844,1647200
2019/1/30,9915.969727,9959.030273,9909.80957,9932.259766,9932.259766,1981800
2019/2/11,10029.83984,10065.51953,9988.830078,10004.25,10004.25,2320500
2019/2/12,10032.08008,10100.23047,10032.08008,10097.74023,10097.74023,2264900
2019/2/13,10123.61035,10140.98047,10074.33984,10090.58008,10090.58008,2455200
2019/2/14,10095.99023,10135.62012,10082,10089.00977,10089.00977,2140200
2019/2/15,10111.17969,10135.16016,10055.5,10064.78027,10064.78027,2137700
2019/2/18,10096.94043,10165.76953,10096.94043,10145.28027,10145.28027,1911900
2019/2/19,10152.11035,10173.46973,10143.15039,10152.25977,10152.25977,1765600
2019/2/20,10181.94043,10272.45996,10181.94043,10272.45996,10272.45996,2246700
2019/2/21,10282.32031,10319.53027,10256.53027,10319.53027,10319.53027,2282400
2019/2/22,10309.01953,10322.91992,10269.9502,10322.91992,10322.91992,2188700
2019/2/25,10343.4502,10390.92969,10343.4502,10390.92969,10390.92969,2325300
2019/2/26,10403.03027,10416.91016,10368.86035,10391.54981,10391.54981,2295000
2019/2/27,10385.80957,10403.04981,10343.55957,10389.16992,10389.16992,2510800
